Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,Stint,Position,TrackStatus,IsAccurate,Season,RaceName,Circuit,Location,Country,Session
NOR,McLaren,2.0,0 days 00:01:30.724000,0 days 00:00:26.863000,0 days 00:00:38.252000,0 days 00:00:25.609000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
NOR,McLaren,5.0,0 days 00:01:30.002000,0 days 00:00:26.735000,0 days 00:00:37.824000,0 days 00:00:25.443000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
NOR,McLaren,8.0,0 days 00:01:30.007000,0 days 00:00:26.586000,0 days 00:00:37.678000,0 days 00:00:25.743000,SOFT,3.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
NOR,McLaren,15.0,0 days 00:01:29.525000,0 days 00:00:26.599000,0 days 00:00:37.630000,0 days 00:00:25.296000,SOFT,6.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
VER,Red Bull Racing,2.0,0 days 00:01:30.854000,0 days 00:00:26.800000,0 days 00:00:38.253000,0 days 00:00:25.801000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
VER,Red Bull Racing,5.0,0 days 00:01:30.157000,0 days 00:00:26.763000,0 days 00:00:37.949000,0 days 00:00:25.445000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
VER,Red Bull Racing,8.0,0 days 00:01:30.371000,0 days 00:00:26.728000,0 days 00:00:37.912000,0 days 00:00:25.731000,SOFT,3.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
VER,Red Bull Racing,11.0,0 days 00:01:29.680000,0 days 00:00:26.615000,0 days 00:00:37.663000,0 days 00:00:25.402000,SOFT,4.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
VER,Red Bull Racing,14.0,0 days 00:01:29.791000,0 days 00:00:26.560000,0 days 00:00:37.676000,0 days 00:00:25.555000,SOFT,5.0,,12,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
VER,Red Bull Racing,17.0,0 days 00:01:29.728000,0 days 00:00:26.641000,0 days 00:00:37.726000,0 days 00:00:25.361000,SOFT,6.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
HAM,Mercedes,2.0,0 days 00:01:31.355000,0 days 00:00:26.870000,0 days 00:00:38.376000,0 days 00:00:26.109000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
HAM,Mercedes,5.0,0 days 00:01:30.393000,0 days 00:00:26.883000,0 days 00:00:37.977000,0 days 00:00:25.533000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
HAM,Mercedes,8.0,0 days 00:01:29.929000,0 days 00:00:26.742000,0 days 00:00:37.797000,0 days 00:00:25.390000,SOFT,3.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
HAM,Mercedes,15.0,0 days 00:01:29.841000,0 days 00:00:26.626000,0 days 00:00:37.987000,0 days 00:00:25.228000,SOFT,6.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
RUS,Mercedes,2.0,0 days 00:01:31.415000,0 days 00:00:27.023000,0 days 00:00:38.627000,0 days 00:00:25.765000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
RUS,Mercedes,5.0,0 days 00:01:30.811000,0 days 00:00:27.002000,0 days 00:00:38.212000,0 days 00:00:25.597000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
RUS,Mercedes,8.0,0 days 00:01:30.153000,0 days 00:00:26.827000,0 days 00:00:37.956000,0 days 00:00:25.370000,SOFT,3.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
RUS,Mercedes,11.0,0 days 00:01:30.711000,0 days 00:00:26.788000,0 days 00:00:38.189000,0 days 00:00:25.734000,SOFT,4.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
RUS,Mercedes,16.0,0 days 00:01:29.867000,0 days 00:00:26.727000,0 days 00:00:37.913000,0 days 00:00:25.227000,SOFT,6.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
PIA,McLaren,2.0,0 days 00:01:30.968000,0 days 00:00:26.917000,0 days 00:00:38.340000,0 days 00:00:25.711000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
PIA,McLaren,5.0,0 days 00:01:30.258000,0 days 00:00:26.756000,0 days 00:00:37.919000,0 days 00:00:25.583000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
PIA,McLaren,8.0,0 days 00:01:30.327000,0 days 00:00:26.694000,0 days 00:00:38.093000,0 days 00:00:25.540000,SOFT,3.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
PIA,McLaren,11.0,0 days 00:01:29.640000,0 days 00:00:26.603000,0 days 00:00:37.753000,0 days 00:00:25.284000,SOFT,4.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
PIA,McLaren,14.0,0 days 00:01:30.037000,0 days 00:00:26.675000,0 days 00:00:37.981000,0 days 00:00:25.381000,SOFT,5.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
PIA,McLaren,17.0,0 days 00:01:29.953000,0 days 00:00:26.641000,0 days 00:00:37.652000,0 days 00:00:25.660000,SOFT,6.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
HUL,Haas F1 Team,2.0,0 days 00:01:30.985000,0 days 00:00:27.032000,0 days 00:00:38.315000,0 days 00:00:25.638000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
HUL,Haas F1 Team,5.0,0 days 00:01:30.724000,0 days 00:00:27.045000,0 days 00:00:38.184000,0 days 00:00:25.495000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
HUL,Haas F1 Team,8.0,0 days 00:01:30.374000,0 days 00:00:26.728000,0 days 00:00:38.132000,0 days 00:00:25.514000,SOFT,3.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
HUL,Haas F1 Team,11.0,0 days 00:01:30.150000,0 days 00:00:26.802000,0 days 00:00:38.048000,0 days 00:00:25.300000,SOFT,4.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
HUL,Haas F1 Team,14.0,0 days 00:01:30.848000,0 days 00:00:26.997000,0 days 00:00:38.253000,0 days 00:00:25.598000,SOFT,5.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
HUL,Haas F1 Team,17.0,0 days 00:01:30.115000,0 days 00:00:26.742000,0 days 00:00:37.939000,0 days 00:00:25.434000,SOFT,6.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
ALO,Aston Martin,2.0,0 days 00:01:31.035000,0 days 00:00:26.949000,0 days 00:00:38.403000,0 days 00:00:25.683000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
ALO,Aston Martin,5.0,0 days 00:01:30.684000,0 days 00:00:26.847000,0 days 00:00:38.210000,0 days 00:00:25.627000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
ALO,Aston Martin,8.0,0 days 00:01:30.960000,0 days 00:00:26.829000,0 days 00:00:38.373000,0 days 00:00:25.758000,SOFT,3.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
ALO,Aston Martin,11.0,0 days 00:01:30.450000,0 days 00:00:26.704000,0 days 00:00:38.200000,0 days 00:00:25.546000,SOFT,4.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
ALO,Aston Martin,16.0,0 days 00:01:30.214000,0 days 00:00:26.647000,0 days 00:00:38.130000,0 days 00:00:25.437000,SOFT,6.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
TSU,RB,2.0,0 days 00:01:31.306000,0 days 00:00:27.064000,0 days 00:00:38.552000,0 days 00:00:25.690000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
TSU,RB,5.0,0 days 00:01:30.716000,0 days 00:00:26.826000,0 days 00:00:38.192000,0 days 00:00:25.698000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
TSU,RB,8.0,0 days 00:01:30.547000,0 days 00:00:26.917000,0 days 00:00:37.999000,0 days 00:00:25.631000,SOFT,3.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
TSU,RB,11.0,0 days 00:01:30.289000,0 days 00:00:26.769000,0 days 00:00:37.897000,0 days 00:00:25.623000,SOFT,4.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
TSU,RB,16.0,0 days 00:01:30.354000,0 days 00:00:26.881000,0 days 00:00:37.937000,0 days 00:00:25.536000,SOFT,6.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
LEC,Ferrari,2.0,0 days 00:01:30.896000,0 days 00:00:27.001000,0 days 00:00:38.275000,0 days 00:00:25.620000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
LEC,Ferrari,5.0,0 days 00:01:30.786000,0 days 00:00:26.876000,0 days 00:00:38.229000,0 days 00:00:25.681000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
LEC,Ferrari,10.0,0 days 00:01:30.289000,0 days 00:00:26.813000,0 days 00:00:37.904000,0 days 00:00:25.572000,SOFT,3.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
LEC,Ferrari,13.0,0 days 00:01:29.747000,0 days 00:00:26.533000,0 days 00:00:37.759000,0 days 00:00:25.455000,SOFT,4.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
LEC,Ferrari,18.0,0 days 00:01:30.119000,0 days 00:00:26.829000,0 days 00:00:37.871000,0 days 00:00:25.419000,SOFT,6.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
SAI,Ferrari,3.0,0 days 00:01:30.988000,0 days 00:00:27.209000,0 days 00:00:38.139000,0 days 00:00:25.640000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
SAI,Ferrari,5.0,0 days 00:01:31.157000,0 days 00:00:27.108000,0 days 00:00:38.159000,0 days 00:00:25.890000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
SAI,Ferrari,8.0,0 days 00:01:30.670000,0 days 00:00:26.898000,0 days 00:00:38.150000,0 days 00:00:25.622000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
SAI,Ferrari,11.0,0 days 00:01:30.580000,0 days 00:00:26.792000,0 days 00:00:38.294000,0 days 00:00:25.494000,SOFT,3.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
SAI,Ferrari,14.0,0 days 00:01:30.108000,0 days 00:00:26.750000,0 days 00:00:37.866000,0 days 00:00:25.492000,SOFT,4.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
ALB,Williams,2.0,0 days 00:01:31.370000,0 days 00:00:27.160000,0 days 00:00:38.375000,0 days 00:00:25.835000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
ALB,Williams,5.0,0 days 00:01:30.679000,0 days 00:00:26.876000,0 days 00:00:38.082000,0 days 00:00:25.721000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
ALB,Williams,8.0,0 days 00:01:31.027000,0 days 00:00:26.840000,0 days 00:00:38.434000,0 days 00:00:25.753000,SOFT,3.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
ALB,Williams,11.0,0 days 00:01:30.474000,0 days 00:00:26.839000,0 days 00:00:38.060000,0 days 00:00:25.575000,SOFT,4.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
COL,Williams,2.0,0 days 00:01:32.559000,0 days 00:00:27.117000,0 days 00:00:39.111000,0 days 00:00:26.331000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
COL,Williams,5.0,0 days 00:01:30.704000,0 days 00:00:26.964000,0 days 00:00:37.939000,0 days 00:00:25.801000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
COL,Williams,8.0,0 days 00:01:31.571000,0 days 00:00:27.092000,0 days 00:00:38.443000,0 days 00:00:26.036000,SOFT,3.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
COL,Williams,11.0,0 days 00:01:30.481000,0 days 00:00:26.841000,0 days 00:00:37.984000,0 days 00:00:25.656000,SOFT,4.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
PER,Red Bull Racing,2.0,0 days 00:01:31.599000,0 days 00:00:27.197000,0 days 00:00:38.546000,0 days 00:00:25.856000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
PER,Red Bull Racing,4.0,0 days 00:01:31.564000,0 days 00:00:27.172000,0 days 00:00:38.658000,0 days 00:00:25.734000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
PER,Red Bull Racing,7.0,0 days 00:01:30.624000,0 days 00:00:26.822000,0 days 00:00:38.312000,0 days 00:00:25.490000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
PER,Red Bull Racing,10.0,0 days 00:01:30.653000,0 days 00:00:26.872000,0 days 00:00:38.143000,0 days 00:00:25.638000,SOFT,3.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
PER,Red Bull Racing,13.0,0 days 00:01:30.579000,0 days 00:00:26.936000,0 days 00:00:38.154000,0 days 00:00:25.489000,SOFT,4.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
MAG,Haas F1 Team,2.0,0 days 00:01:31.272000,0 days 00:00:27.034000,0 days 00:00:38.477000,0 days 00:00:25.761000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
MAG,Haas F1 Team,5.0,0 days 00:01:30.829000,0 days 00:00:26.885000,0 days 00:00:38.292000,0 days 00:00:25.652000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
MAG,Haas F1 Team,8.0,0 days 00:01:30.846000,0 days 00:00:26.864000,0 days 00:00:38.421000,0 days 00:00:25.561000,SOFT,3.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
MAG,Haas F1 Team,11.0,0 days 00:01:30.653000,0 days 00:00:26.889000,0 days 00:00:38.268000,0 days 00:00:25.496000,SOFT,4.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
OCO,Alpine,2.0,0 days 00:01:32.635000,0 days 00:00:27.460000,0 days 00:00:39.217000,0 days 00:00:25.958000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
OCO,Alpine,5.0,0 days 00:01:31.250000,0 days 00:00:27.084000,0 days 00:00:38.559000,0 days 00:00:25.607000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
OCO,Alpine,8.0,0 days 00:01:30.958000,0 days 00:00:27.057000,0 days 00:00:38.356000,0 days 00:00:25.545000,SOFT,3.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
OCO,Alpine,11.0,0 days 00:01:31.683000,0 days 00:00:27.089000,0 days 00:00:38.665000,0 days 00:00:25.929000,SOFT,4.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
OCO,Alpine,14.0,0 days 00:01:30.769000,0 days 00:00:26.993000,0 days 00:00:38.296000,0 days 00:00:25.480000,SOFT,5.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
RIC,RB,2.0,0 days 00:01:31.571000,0 days 00:00:27.093000,0 days 00:00:38.551000,0 days 00:00:25.927000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
RIC,RB,5.0,0 days 00:01:31.085000,0 days 00:00:27.079000,0 days 00:00:38.308000,0 days 00:00:25.698000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
STR,Aston Martin,2.0,0 days 00:01:32.588000,0 days 00:00:27.285000,0 days 00:00:39.230000,0 days 00:00:26.073000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
STR,Aston Martin,5.0,0 days 00:01:31.094000,0 days 00:00:26.873000,0 days 00:00:38.530000,0 days 00:00:25.691000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
GAS,Alpine,2.0,0 days 00:01:32.959000,0 days 00:00:27.473000,0 days 00:00:39.103000,0 days 00:00:26.383000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
GAS,Alpine,5.0,0 days 00:01:31.724000,0 days 00:00:27.234000,0 days 00:00:38.842000,0 days 00:00:25.648000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
GAS,Alpine,8.0,0 days 00:01:31.312000,0 days 00:00:27.088000,0 days 00:00:38.568000,0 days 00:00:25.656000,SOFT,3.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
BOT,Kick Sauber,2.0,0 days 00:01:32.941000,0 days 00:00:27.511000,0 days 00:00:39.258000,0 days 00:00:26.172000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
BOT,Kick Sauber,5.0,0 days 00:01:32.058000,0 days 00:00:27.229000,0 days 00:00:38.866000,0 days 00:00:25.963000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
BOT,Kick Sauber,8.0,0 days 00:01:31.572000,0 days 00:00:27.189000,0 days 00:00:38.400000,0 days 00:00:25.983000,SOFT,3.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
ZHO,Kick Sauber,2.0,0 days 00:01:33.569000,0 days 00:00:27.689000,0 days 00:00:39.479000,0 days 00:00:26.401000,SOFT,1.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
ZHO,Kick Sauber,5.0,0 days 00:01:32.514000,0 days 00:00:27.406000,0 days 00:00:38.914000,0 days 00:00:26.194000,SOFT,2.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
ZHO,Kick Sauber,8.0,0 days 00:01:32.054000,0 days 00:00:27.236000,0 days 00:00:38.783000,0 days 00:00:26.035000,SOFT,3.0,,1,True,2024,Pre-Season Testing,Singapore Grand Prix,Marina Bay,Singapore,Qualifying
VER,Red Bull Racing,2.0,0 days 00:01:30.031000,0 days 00:00:28.787000,0 days 00:00:38.580000,0 days 00:00:22.664000,SOFT,1.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
VER,Red Bull Racing,5.0,0 days 00:01:30.160000,0 days 00:00:28.822000,0 days 00:00:38.767000,0 days 00:00:22.571000,SOFT,2.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
VER,Red Bull Racing,8.0,0 days 00:01:29.374000,0 days 00:00:28.509000,0 days 00:00:38.387000,0 days 00:00:22.478000,SOFT,3.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
VER,Red Bull Racing,13.0,0 days 00:01:29.421000,0 days 00:00:28.686000,0 days 00:00:38.361000,0 days 00:00:22.374000,SOFT,5.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
VER,Red Bull Racing,16.0,0 days 00:01:29.179000,0 days 00:00:28.535000,0 days 00:00:38.269000,0 days 00:00:22.375000,SOFT,6.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
LEC,Ferrari,2.0,0 days 00:01:31.260000,0 days 00:00:29.522000,0 days 00:00:39.009000,0 days 00:00:22.729000,MEDIUM,1.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
LEC,Ferrari,5.0,0 days 00:01:30.243000,0 days 00:00:29.067000,0 days 00:00:38.589000,0 days 00:00:22.587000,SOFT,2.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
LEC,Ferrari,9.0,0 days 00:01:30.094000,0 days 00:00:29.014000,0 days 00:00:38.507000,0 days 00:00:22.573000,SOFT,4.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
LEC,Ferrari,12.0,0 days 00:01:29.165000,0 days 00:00:28.843000,0 days 00:00:38.059000,0 days 00:00:22.263000,SOFT,5.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
LEC,Ferrari,15.0,0 days 00:01:29.480000,0 days 00:00:28.863000,0 days 00:00:38.344000,0 days 00:00:22.273000,SOFT,6.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
LEC,Ferrari,18.0,0 days 00:01:29.407000,0 days 00:00:28.762000,0 days 00:00:38.276000,0 days 00:00:22.369000,SOFT,7.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
RUS,Mercedes,2.0,0 days 00:01:30.350000,0 days 00:00:29.102000,0 days 00:00:38.727000,0 days 00:00:22.521000,SOFT,1.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
RUS,Mercedes,7.0,0 days 00:01:30.698000,0 days 00:00:29.246000,0 days 00:00:38.861000,0 days 00:00:22.591000,SOFT,3.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
RUS,Mercedes,10.0,0 days 00:01:29.922000,0 days 00:00:28.954000,0 days 00:00:38.610000,0 days 00:00:22.358000,SOFT,4.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
RUS,Mercedes,13.0,0 days 00:01:29.603000,0 days 00:00:28.800000,0 days 00:00:38.503000,0 days 00:00:22.300000,SOFT,5.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
RUS,Mercedes,16.0,0 days 00:01:29.485000,0 days 00:00:28.800000,0 days 00:00:38.421000,0 days 00:00:22.264000,SOFT,6.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
SAI,Ferrari,2.0,0 days 00:01:31.208000,0 days 00:00:29.760000,0 days 00:00:38.878000,0 days 00:00:22.570000,MEDIUM,1.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
SAI,Ferrari,5.0,0 days 00:01:29.909000,0 days 00:00:29.008000,0 days 00:00:38.409000,0 days 00:00:22.492000,SOFT,2.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
SAI,Ferrari,8.0,0 days 00:01:30.425000,0 days 00:00:29.068000,0 days 00:00:38.827000,0 days 00:00:22.530000,SOFT,3.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
SAI,Ferrari,11.0,0 days 00:01:29.573000,0 days 00:00:28.890000,0 days 00:00:38.346000,0 days 00:00:22.337000,SOFT,4.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
SAI,Ferrari,14.0,0 days 00:01:29.608000,0 days 00:00:28.851000,0 days 00:00:38.404000,0 days 00:00:22.353000,SOFT,5.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
SAI,Ferrari,17.0,0 days 00:01:29.507000,0 days 00:00:28.850000,0 days 00:00:38.298000,0 days 00:00:22.359000,SOFT,6.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
PER,Red Bull Racing,2.0,0 days 00:01:30.221000,0 days 00:00:28.939000,0 days 00:00:38.598000,0 days 00:00:22.684000,SOFT,1.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
PER,Red Bull Racing,5.0,0 days 00:01:30.500000,0 days 00:00:28.924000,0 days 00:00:38.874000,0 days 00:00:22.702000,SOFT,2.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
PER,Red Bull Racing,8.0,0 days 00:01:29.932000,0 days 00:00:28.738000,0 days 00:00:38.653000,0 days 00:00:22.541000,SOFT,3.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
PER,Red Bull Racing,13.0,0 days 00:01:30.030000,0 days 00:00:28.817000,0 days 00:00:38.687000,0 days 00:00:22.526000,SOFT,5.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
PER,Red Bull Racing,16.0,0 days 00:01:29.537000,0 days 00:00:28.804000,0 days 00:00:38.323000,0 days 00:00:22.410000,SOFT,6.0,,1,True,2024,Bahrain Grand Prix,Bahrain Grand Prix,Sakhir,Bahrain,Qualifying
