Season,RaceName,Circuit,Session,Driver,Team,LapNumber,LapInStint,Compound,Stint,LapTimeSec,NormalizedPace,Sector1Sec,Sector2Sec,Sector3Sec,Position,TrackStatus,TrackType
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,36.0,5,HARD,2.0,96.216,1.0183095908388544,28.596,40.535,27.085,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,37.0,6,HARD,2.0,96.435,1.02062739453464,28.512,40.644,27.279,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,38.0,7,HARD,2.0,96.71,1.0235378786275213,28.596,40.814,27.3,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,39.0,8,HARD,2.0,97.325,1.0300467794170565,28.744,41.192,27.389,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,40.0,9,HARD,2.0,97.194,1.028660330630993,28.722,41.038,27.434,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,41.0,10,HARD,2.0,96.57,1.0220561776347818,28.598,40.84,27.132,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,42.0,11,HARD,2.0,96.404,1.0202993036005332,28.56,40.731,27.113,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,43.0,12,HARD,2.0,96.61,1.0224795207755646,28.776,40.757,27.077,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,44.0,13,HARD,2.0,96.275,1.018934021971509,28.522,40.586,27.167,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,45.0,14,HARD,2.0,96.928,1.0258450987447876,28.592,41.135,27.201,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,46.0,15,HARD,2.0,95.953,1.0155261096882078,28.332,40.577,27.044,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,47.0,16,HARD,2.0,96.567,1.0220244268992231,28.577,40.749,27.241,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,48.0,17,HARD,2.0,94.925,1.0046461909700908,28.238,40.206,26.481,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,49.0,18,HARD,2.0,96.06,1.0166585525898015,28.515,40.596,26.949,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,50.0,19,HARD,2.0,96.311,1.0193150307982135,28.5,40.749,27.062,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,51.0,20,HARD,2.0,96.603,1.0224054357259276,28.507,40.946,27.15,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,52.0,21,HARD,2.0,96.192,1.0180555849543846,28.497,40.713,26.982,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,53.0,22,HARD,2.0,96.435,1.02062739453464,28.491,40.695,27.249,1.0,1,Street
